	titleId	directors	writers
21	tt0000023	nm0525910	
178	tt0000181	nm0808310	nm0674518
222	tt0000225		nm0207305
227	tt0000230	nm0617588	nm0674518
416	tt0000420	nm0378408,nm0832948	nm0140902,nm0378408
435	tt0000439	nm0692105	nm1145809,nm0692105
467	tt0000471	nm0692105	nm0832952
468	tt0000472	nm0002615	nm0832952
483	tt0000487	nm0002615	
604	tt0000609	nm0892614,nm0143333	nm0000636
605	tt0000610	nm0691994	nm0000636
625	tt0000630	nm0143333	nm0000636
661	tt0000668	nm0091767,nm0675544	nm0241416
701	tt0000709	nm0710362,nm0085865	nm0509478,nm0000636
702	tt0000711	nm0567363	nm2088653,nm0853193
708	tt0000717	nm0085865	nm0000636
715	tt0000724	nm0085865	nm0509478,nm0000636
725	tt0000734	nm0710362	nm0000636
726	tt0000736	nm0567363	nm0000428
736	tt0000746	nm0000428	nm0150432,nm0191885,nm0000428,nm0940488
740	tt0000750	nm0085865,nm0710362	nm0000636
748	tt0000758	nm0488932	
760	tt0000770	nm0000428	nm0000428,nm0000636,nm0813603
813	tt0000823	nm0000428	nm0940488
818	tt0000828	nm0000428	nm0000428
831	tt0000841	nm0000428	nm0681933
918	tt0000928	nm0085865,nm0710362	nm0612348,nm0000636
939	tt0000950	nm0143333	nm0000636
950	tt0000961	nm0000428	nm0940488
955	tt0000966	nm0085865,nm0448682	nm0612348,nm0000636
978	tt0000990	nm0085865	nm0002042,nm0612348
986	tt0000998	nm0266080	nm0000636
996	tt0001008	nm0205986	nm0205986,nm0878494
1004	tt0001016	nm0000428	nm0866243,nm0940488
1094	tt0001106	nm0692105	nm0140902
1105	tt0001117	nm0029253,nm0954087	nm0000636
1163	tt0001175	nm0580197,nm0693516,nm0130633	nm0241414,nm0693516
1195	tt0001207	nm0000428	nm0940488
1199	tt0001211	nm0029253,nm1108042	
1211	tt0001223	nm0205986	nm0791217,nm0205986
1215	tt0001227	nm0000428	nm0567615
1228	tt0001240	nm0088881	nm0000636
1229	tt0001241	nm0055011,nm0713223	nm0000636,nm0713223
1230	tt0001242	nm0221142	nm0000636
1252	tt0001264	nm0000428	nm0853193
1287	tt0001299	nm0130633	nm0141150,nm0000636
1322	tt0001334	nm0288616	nm0000428
1420	tt0001432	nm0085865	nm0832952,nm0612348,nm0836316
1531	tt0001544	nm0448682,nm0205986,nm0587929	nm0002042
1532	tt0001545	nm0629589	nm0674518
1618	tt0001632		nm0519675
1643	tt0001658	nm0055011,nm0002504	nm0000636,nm0002504,nm0282040
1700	tt0001715	nm0072493	nm0000636
1712	tt0001728		nm0178126
1744	tt0001761		nm0000636
1794	tt0001812	nm0294276	nm0814668
1837	tt0001857	nm0072493	nm0000636
1852	tt0001872	nm0806961,nm0875869	nm0107543,nm0370426
1857	tt0001877	nm0629589	nm0353584,nm0551375
2007	tt0002031	nm0448682,nm0085865,nm0949648	nm0000636
2040	tt0002065	nm0000428,nm0524306	nm0377289
2076	tt0002101	nm0309130	nm0765026,nm0309130
2118	tt0002143	nm0376529	nm2583229,nm2544950,nm0829044,nm0838370
2269	tt0002295	nm0877783,nm0107543	nm0102935,nm0107543
2274	tt0002300	nm0036048	nm0410331
2378	tt0002405		nm0002042
2379	tt0002406	nm0072872	nm0072872,nm0002042
2396	tt0002423	nm0523932	nm0266183,nm0473134
2438	tt0002465	nm0036048,nm0085133	nm0050369
2511	tt0002538	nm0205986	nm0829044
2518	tt0002545		
2619	tt0002646	nm0088881	nm1834296,nm0369458,nm2421815
2691	tt0002718	nm0000428	nm0634515
2740	tt0002767	nm0692105,nm0325448	nm0241416,nm0270007
2786	tt0002813	nm0107543	nm0107543,nm0829044
2821	tt0002848	nm0000428	nm0377080
2895	tt0002922	nm0687575	nm0000636
2929	tt0002956	nm0784407	
2994	tt0003022	nm0107543	nm0107543,nm1015268,nm1206019,nm0779797
3286	tt0003317	nm0029253	
3306	tt0003337	nm0551375	nm0518840,nm0551375
3407	tt0003442	nm0205986	nm0362762
3473	tt0003508	nm0713787	
3589	tt0003625	nm0306723	nm0306723,nm0866243
3662	tt0003698	nm0001124,nm0002177	nm0567346,nm0810367,nm0648688
3704	tt0003740	nm0665163	nm0195339,nm0515385,nm0665163,nm0758215
3735	tt0003772	nm0456804	nm0674518
3767	tt0003804	nm0692105,nm0285684	nm0285684,nm0527436,nm0692105
3979	tt0004022	nm0345500	nm1000925,nm0000636
4079	tt0004125	nm0641967	nm0338708,nm0543122
4120	tt0004167	nm0269265	nm0111576
4145	tt0004193	nm0205601	nm0428734
4199	tt0004249	nm0949648	nm0205244,nm0949648
4275	tt0004325	nm0806565,nm0916665	nm0000636,nm0916665
4334	tt0004384	nm0303120	nm0060654,nm0303120
4411	tt0004465	nm0309163,nm0533289	nm0323766,nm0225458,nm0782707,nm0589616
4481	tt0004536	nm0806565	
